Devices,Population,City/District
1072951,"1,692,770",Auckland
251992,"407,503",Christchurch City
141610,"215,200",Wellington City
113675,"185,300",Hamilton City
99557,"161,800",Tauranga City
87200,"106,200",Dunedin City
70264,"113,000",Lower Hutt City
62506,"56,900",Whangarei District
56472,"82,500",Palmerston North City
55951,"51,500",Hastings District
54549,"59,600",New Plymouth District
53493,"75,000",Waikato District
48984,"29,600",Selwyn District
45383,"65,000",Far North District
43296,"65,000",Waimakariri District
41873,"67,500",Napier City
38321,"50,000",Western Bay of Plenty District
38031,"55,000",Tasman District
37351,"55,000",Waipa District
37281,"55,000",Kapiti Coast District
37109,"60,900",Porirua City
36002,"51,000",Invercargill City
35443,"51,900",Nelson City
34149,"29,000",Queenstown-Lakes District
33369,"50,000",Marlborough District
31285,"38,200",Gisborne District
30781,"28,900",Timaru District
30286,"42,800",Whanganui District
29661,"45,400",Upper Hutt City
26038,"26,500",Taupo District
23387,"19,800",Horowhenua District
23269,"16,850",Whakatane District
23204,"9,130",Matamata-Piako District
22704,"20,800",Ashburton District
22107,"7,630",Thames-Coromandel District
20613,"30,000",Manawatu District
20256,"30,000",Southland District
18113,"22,600",Masterton District
17756,"10,350",South Taranaki District
16872,"25,000",Kaipara District
16713,"25,000",Central Otago District
15430,"25,000",Waitaki District
15422,"25,000",South Waikato District
13963,"25,000",Hauraki District
11768,"25,000",Tararua District
11765,"25,000",Clutha District
9974,"25,000",Rangitikei District
9729,"25,000",Central Hawke’s Bay District
8877,"8,340",Grey District
8627,"25,000",Hurunui District
8227,"8,240",Gore District
7879,"25,000",Ruapehu District
7536,"25,000",South Wairarapa District
6594,"25,000",Otorohanga District
6445,"25,000",Carterton District
6323,"25,000",Buller District
6309,"25,000",Opotiki District
6173,"6,320",Stratford District
5858,"25,000",Waitomo District
5780,"25,000",Westland District
5483,"25,000",Wairoa District
5368,"25,000",Waimate District
4873,"25,000",Mackenzie District
4641,"7,820",Kawerau District
2700,"25,000",Kaikoura District
471,"25,000",Chatham Islands Territory
22,"25,000",Area Outside Territorial Authority
NA,"58,900",Rotorua District
